,id,thread_id,chat,author,author_username,author_name,author_is_bot,body,reply_to,views,timestamp,unix_timestamp,timestamp_edited,unix_timestamp_edited,author_forwarded_from_name,author_forwarded_from_username,timestamp_forwarded_from,unix_timestamp_forwarded_from,attachment_type,attachment_data,attachment_filename,matching_lexicons,Node_URL_count
8,12963,bmpd_cast,bmpd_cast,1241559280,bmpd_cast,,False,"В Австралии оценили экспертное мнение контр-адмирала Скотта Паппано, руководителя программы строительства стратегических атомных подводных лодок ВМС США, как «служение истине».
https://www.crikey.com.au/2022/09/02/us-admiral-scott-pappano-aukus-submarines/
https://www.naval-technology.com/analysis/us-navy-wants-to-chop-six-months-off-build-time-of-columbia-class-submarines/
Представляя 24-го августа в Институте Митчелла обновленную информацию о планах строительства новых пларб типа «Колумбия», американский адмирал поставил под сомнение способность США и Великобритании построить атомные подводные лодки для австралийских ВМС в рамках «вечного пакта» под названием AUKUS.
Паппано заявил, что строительство новейших ракетоносцев, которые со временем заменят пларб типа «Огайо», является для его «департамента» приоритетом. В этой связи, за счет привлечения дополнительных судостроительных мощностей планируется сократить срок постройки стратегов типа «Колумбия» с 84-х до 78-ми месяцев. Следовательно, высвободить какие-то ресурсы еще и для строительства австралийских атомоходов вряд ли получится.
Также адмирал скептически оценил возможности британской судоверфи «BAE Systems» в Барроу-ин-Фернесс по выполнению новых заказов помимо строящихся для ВМС Великобритании двух последних субмарин типа «Эстьют» и закладки новейшего стратега в серии из четырех единиц для замены пларб типа «Вэнгард».

Собственно поэтому, до «момента истины», когда и «чей проект выберут австралийцы в качестве своей перспективной АПЛ» может и не дойти.
https://t.me/subforcherald/456",,12971,2022-09-06 4:31:58,1662438718,,,,,2022-09-05 20:20:04,1662409204.0,url,,,,2
18,12627,bmpd_cast,bmpd_cast,1241559280,bmpd_cast,,False,"Свежий военный пуск ракеты космического назначения с Плесецка (https://t.me/roscosmos_gk/6078, http://www.russianspaceweb.com/nivelir3.html), возможно, очень увлекательный.

Есть мнение, подтверждаемое любительскими наблюдениями (https://threadreaderapp.com/thread/1554199679608492033.html) , что выведенный на орбиту ""Космос-2558"" - это спутник-инспектор, и ""инспектировать"" он будет вполне конкретный объект - USA 326, предположительно, являющийся разведывательным спутником нового поколения, запущенным в феврале этого года (https://www.n2yo.com/satellite/?s=51445).

Будем продолжать следить за развитием событий. Не исключено, что нас ждут очередные орбитальные гонки. Типа упомянутых тут: https://t.me/vatfor/6794 

Ну а тем, кто думает, что милитаризация/вепонизация космического  пространства началась буквально на днях, и виноваты в этом русские с китайцами, все подробно разъяснил дорогой товарищ Бэйтман: https://threadreaderapp.com/thread/1554106395221450755.html

Также не можем не напомнить про совместный текст нашего автора с американским коллегой на заданную тему: https://t.me/vatfor/7846",,8738,2022-08-02 8:20:32,1659428432,,,,,2022-08-02 7:16:47,1659424607.0,url,,,,4
36,12001,bmpd_cast,bmpd_cast,1241559280,bmpd_cast,,False,"Поздравляем всех читателей с достижением нашим каналом https://t.me/bmpd_cast  ДВАДЦАТИ ПЯТИ ТЫСЯЧ подписчиков !

Поздравляем всех читателей и почитателей и благодарим дружественные каналы (продолжение):

Военные:
https://t.me/notsooperline - Не очень оперативная линия
https://t.me/norin_ea - Norinturm
https://t.me/planeradar - Planeradar.ru
https://t.me/subforcherald - Вестник подводных сил
https://t.me/iron_wind - Железный ветер (Алексей Исаев)
https://t.me/Belarus_VPO - БелВПО
https://t.me/poisk_mil - Поисковик ЗВИ
https://t.me/vanguard1802 - Vanguard
https://t.me/kalashnikovmagazine - Журнал Калашников

Внешнеполитические:
https://t.me/ru_global - Россия в глобальной политике
https://t.me/vatfor - Ватфор | Автострадный think tank
https://t.me/sanctionsrisk - Санкции. Экспертиза
https://t.me/brussinf - Брюссельский стукач
https://t.me/HouseOfCardsEurope - Карточный Домик: Европа
https://t.me/postamerica - Пост-Америка
https://t.me/NY_USA_World - С берега Гудзона
https://t.me/britishpolitics - Westminster
https://t.me/GreekMilitaryPortal - Greek Military Portal
https://t.me/lovuska - Ловушка Фукидида
https://t.me/lumandao - Lu Man: Взгляд на Восток
https://t.me/sinatech - Sina Tech: Китай, бизнес и технологии
https://t.me/daokedao - Китайская угроза
https://t.me/chinabewithyou - Китайский Городовой
https://t.me/speciallassi - Special Lassi
https://t.me/indiaanalytics - India Analytics
https://t.me/pithhelmet - Пробковый шлем
https://t.me/energy4africa - Энергия Африки
https://t.me/afric_ylbIbka - Улыбаемся & Машем
https://t.me/zangaro - Zangaro Today
https://t.me/Korea_Light - Korea Light
https://t.me/northkoreadaily - North Korea Daily
https://t.me/navostok - Ковчег «Евразия»
https://t.me/valdaiclub - Клуб «Валдай»
https://t.me/evgenyprimakov - Primakov

Политические:
https://t.me/bbbreaking - Раньше всех. Ну почти.
https://t.me/Nevrotique - НеВротик
https://t.me/karaulny - Караульный
https://t.me/prbezposhady - Беспощадный пиарщик
https://t.me/repostik - Репостик - Агрегатор новостей
https://t.me/tolk_tolk - Толкователь
https://t.me/fuckyouthatswhy - Fuck you That's Why
https://t.me/odnako_s - Однако
https://t.me/dimsmirnov175 - Пул N3",,39101,2022-06-03 9:53:30,1654250010,,,,,,,url,,,,44
37,12000,bmpd_cast,bmpd_cast,1241559280,bmpd_cast,,False,"Наш канал https://t.me/bmpd_cast взял очередной рубеж и достиг уровня ДВАДЦАТИ ПЯТИ ТЫСЯЧ подписчиков !

Поздравляем всех читателей и почитателей и благодарим дружественные каналы:

Военные:
https://t.me/infantmilitario - Милитарист
https://t.me/milinfolive - Военный Осведомитель
https://t.me/new_militarycolumnist - Военный обозреватель
https://t.me/operline_ru - Оперативная линия ★
https://t.me/notsooperline - Не очень оперативная линия
https://t.me/cyber_MipZ - КиберВойна и мiр
https://t.me/zvozduh - Земля-Воздух
https://t.me/fotozak - Фотозаклепки
https://t.me/svarschiki - ⚔️ СВАРЩИКИ
https://t.me/kramnikcat - Кот и кошка Крамника
https://t.me/Army_Russia - Заметки Фотокорреспондента
https://t.me/nuclear_stormbringer - Ядерный буревестник Максим
https://t.me/ArmsControlFreak - Учёт и Контроль
https://t.me/warbolts - Военно-болтовой
https://t.me/voenvz - Взгляд человека в лампасах
https://t.me/SIL0VIKI - СИЛОВИКИ
https://t.me/oboronka_channel - Оборонка
https://t.me/vestnikpvo - Вестник ПВО
https://t.me/pvo_vks - ВЕСТНИК ПВО И ВКС
https://t.me/zvezdanews - Zvezdanews
https://t.me/ChDambiev - Dambiev
https://t.me/ImpNavigator - ImpNavigator
https://t.me/yadernykontrol - Ядерный Контроль
https://t.me/migdalsergei - The Peacemaker
https://t.me/militaryrussiaru - MilitaryRussia.ru
https://t.me/Artillery_Artillery - Артиллерия
https://t.me/china3army - China army
https://t.me/Viktor_Murakhovskiy - Виктор Мураховский
https://t.me/kiverilafet - Кивер и Лафет
https://t.me/Ministerstvo_oborony - МинОбороны России

Авиационные:
https://t.me/aviachatchannel - AviaChatChannel 
https://t.me/AviaCT - AviaNews
https://t.me/aviadispet4er - Авиадиспетчер
https://t.me/fighter_bomber - Fighterbomber
https://t.me/wingsofwar - Крылья войны
https://t.me/aviadrive - AviaDrive
https://t.me/proUAV - ProUAV
https://t.me/aviaincident - Aviaincidents
https://t.me/helincidents - Helincidents
https://t.me/space78125 - Контакт подъема
https://t.me/aviationmode - FlightMode
https://t.me/aviatorshina - Аэрофлотовщина
https://t.me/propeller_news - ПРОПЕЛЛЕР
https://t.me/vertolatte - Вертолатте
https://t.me/AviaticA - AviaticA
https://t.me/antresol_avia - Авиационная Антресоль
https://t.me/dronesrussia - Обозреватель БПЛА
https://t.me/survivalavia - ВЫНУЖДЕННАЯ ПОСАДКА
https://t.me/aviasalonmaks - Авиасалон МАКС


Морские:
https://t.me/forenavy - FORENAVY ⚓️ Новости, OSINT, аналитика
https://t.me/first_morskoy - Первый Морской
https://t.me/proflot - Морской | Флот
https://t.me/navyphotos - Фото флота Олега Кулешова
https://t.me/PortNews_ru - PortNews.ru
https://t.me/gruz0potok - Грузопоток
https://t.me/seamensway_ru - Морские и мировые новости. Seamensway.com
https://t.me/piratebarge - Пиратская баржа
https://t.me/sibirskiyokean - Северный морской путь
https://t.me/moria40k - Морячок

Конфликты:
https://t.me/sashakots - Kotsnews (Алексанлр Коц)
https://t.me/warjournal - WarJournal
https://t.me/rybar - Рыбарь
https://t.me/astramilitarum - Astra Militarum
https://t.me/south0wind - Южный ветер
https://t.me/faceofwar - Лик Войны.21+
https://t.me/militarymaps - MilitaryMaps
https://t.me/true_secator - SecAtor
https://t.me/ararathau - Ararat
https://t.me/karabah_news - Карабах|Война|Новости
https://t.me/military_arm - Armenian Military Portal
https://t.me/military_az - AZERBAIJANI ARMED FORCES
https://t.me/caucasuswar - CaucasusWarReport
https://t.me/anxious_waters - Несвободная навигация
https://t.me/cybersecgame - Cybersecgame",,23927,2022-06-03 9:53:01,1654249981,2022-06-04 10:04:44,1654337084.0,,,,,url,,,,75
48,4707,nbondarik,nbondarik,1392293072,nbondarik,,False,"🔥🔥🔥🔥🔥🔥🔥🔥
МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1793,2022-10-14 18:47:14,1665773234,2022-10-14 20:47:46,1665780466.0,,,,,url,,,,2
49,4698,nbondarik,nbondarik,1392293072,nbondarik,,False,"🔥🔥🔥🔥🔥🔥🔥🔥
МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1249,2022-10-13 19:00:40,1665687640,2022-10-13 19:43:58,1665690238.0,,,,,url,,,,2
50,4679,nbondarik,nbondarik,1392293072,nbondarik,,False,"🔥🔥🔥🔥🔥🔥🔥🔥
МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1146,2022-10-12 18:42:15,1665600135,2022-10-12 18:47:40,1665600460.0,,,,,url,,,,2
51,4666,nbondarik,nbondarik,1392293072,nbondarik,,False,"🔥🔥🔥🔥🔥🔥🔥🔥
МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1204,2022-10-11 18:33:26,1665513206,2022-10-11 18:46:04,1665513964.0,,,,,url,,,,2
52,4654,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1228,2022-10-10 18:45:31,1665427531,2022-10-10 18:45:43,1665427543.0,,,,,url,,,,2
54,4630,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1138,2022-10-09 18:48:27,1665341307,2022-10-09 19:02:01,1665342121.0,,,,,url,,,,2
